Telemetry(timestamp='27.05.2023 11:27:06.174696', value='3359.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:06.530316', value='1007172.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:06.531363', value='7.368421', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:06.531815', value='92.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:06.686016', value='3624.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:07.305787', value='9.947644', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:07.328371', value='98.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:07.194901', value='3520.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:07.529899', value='1000532.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:07.531025', value='6.417112', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:07.531591', value='103.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:07.703943', value='3329.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:08.309127', value='10.638298', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:08.321597', value='96.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:08.650891', value='3627.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:08.531186', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:08.531233', value='6.349206', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:08.531537', value='1010624.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:08.549425', value='3699.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:09.304713', value='6.989247', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:09.312893', value='95.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:09.252245', value='3974.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:09.530342', value='1007180.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:09.530442', value='8.021390', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:09.532050', value='93.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:09.757763', value='3836.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:10.304074', value='10.382514', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:10.324963', value='91.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:10.165557', value='3651.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:10.530504', value='11.578947', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:10.530597', value='1015208.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:10.530659', value='0.080000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:10.531309', value='87.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:10.563164', value='0.150000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:10.592189', value='3490.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:11.306526', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:11.309402', value='4.812834', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:11.177198', value='3622.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:11.530579', value='7.446809', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:11.530733', value='1018560.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:11.531535', value='99.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:11.703222', value='4113.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
