Telemetry(timestamp='22.05.2023 07:33:58.724052', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:33:58.724835', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:33:59.220861', value='25.870647', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:33:59.220904', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:33:59.220927', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:33:59.225027', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:33:59.225297', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:33:59.720919', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:33:59.721338', value='25.757576', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:33:59.721633', value='1364828.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 07:33:59.722528', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:33:59.723689', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:33:59.727965', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:00.220530', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:00.220728', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:00.221113', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:00.221777', value='25.628141', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:00.223634', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:00.720280', value='1365080.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:00.720723', value='25.870647', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:00.722212', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:00.722281', value='11.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:00.725034', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:00.725978', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:01.220554', value='25.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:01.221142', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:01.221264', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
